kauza	datum	medium	titulek	strana	rubrika	autor	delka
capihnizdo	18.03.2016	Mladá fronta DNES	Babišovo záhadné mlčení	11	Názory	Zuzana Kubátová	3161
capihnizdo	18.03.2016	Právo	Vláda kvůli Čapímu hnízdu padnout nemusí	02	Zpravodajství	Oldřich Danda	2353
capihnizdo	18.03.2016	Právo	Babiš: Nepostavili ani psí boudu a mají být v politice?	01	Titulní strana	Karolina Brožová	5291
capihnizdo	18.03.2016	Mladá fronta DNES	ANO zůstává věrné: Šéf to nějak vysvětlí	02	Z domova	Adéla Paclíková	2402
capihnizdo	18.03.2016	Právo	Babišův hrad v Karpatech	06	Publicistika	Lukáš Jelínek	3094
capihnizdo	17.03.2016	Právo	Když je strana vůdcovo hnízdo	06	Publicistika	Jiří Pehe	2641
capihnizdo	17.03.2016	Hospodářské noviny	Petr Fiala předseda ODS	09	Názory		232
capihnizdo	17.03.2016	Mladá fronta DNES	Dotační úskok, který by dnes neprošel	02	Z domova	Zuzana Kubátová	3117
capihnizdo	17.03.2016	Hospodářské noviny	ČAPÍ HRA O PREMIÉRA SOBOTKU	08	Názory	Petr Fischer	4392
capihnizdo	17.03.2016	Právo	Babišova vila je vedena jako ubytovací zařízení, ale pronajmout si ji nelze	01	Titulní strana	Jakub Troníček	4541
capihnizdo	17.03.2016	Hospodářské noviny	JAK KLAPOU BABIŠOVI ČÁPI	10	Panorama	Václav Dolejší	12439
capihnizdo	17.03.2016	Právo	ČSSD natahuje Babiše na skřipec	02	Zpravodajství	Karolina Brožová	5829
capihnizdo	17.03.2016	Právo	Lidovci se trhli, ale EET prošla a míří na Hrad	03	Zpravodajství	(zpe, Novinky.cz)	2715
capihnizdo	17.03.2016	Právo	Lidovecké bububu	06	Publicistika	Lukáš Jelínek	2967
capihnizdo	17.03.2016	Lidové noviny	Zeman odmítl dřívější termín voleb	02	Domov	TOMÁŠ TOMÁNEK	4027
capihnizdo	17.03.2016	Právo	Ministr neodstoupí, Zemana přivítá v hnízdě i s Klokánky	02	Zpravodajství	Naďa Adamičková Marie Königová	5115
capihnizdo	17.03.2016	Mladá fronta DNES	Necháme ho vymluvit“	02	Z domova	Ondřej Leinert	3595
capihnizdo	17.03.2016	Hospodářské noviny	Gourmetguru	17	Gourmet		2959
capihnizdo	16.03.2016	Právo	Předčasné volby nikdo nechce, koalicí ale zmítá hnízdo	02	Zpravodajství	(kab, ČTK)	2847
capihnizdo	16.03.2016	Hospodářské noviny	S BABIŠEM TO NEJDE, BEZ NĚJ TAKY NE	13	Názory	David Klimeš	4433
capihnizdo	16.03.2016	Lidové noviny	ZPRÁVY DNE	02	Domov		2011
